event_id,date,year,year_status,district,district_original,tehsil,panchayat_village,source_classification,derived_classification,classification_confidence,fatalities,missing_persons,injured_persons,livestock_lost,houses_damaged_fully,houses_damaged_partially,infrastructure_damage,financial_loss_inr_lakh,source_file,source_organization,source_url,page_table_location,event_narrative
CB_2011_SHIMLA_001,2011-08-11,2011,COMPLETE,Shimla,Shimla,Rampur,Nankhari,Cloudburst,Cloudburst,HIGH,1,0,0,4,3,5,"Local link road blocked, pedestrian pathway eroded",25.0,hpsdma_disaster_analysis_lr3_2007_2015.pdf,HP SDMA / TARU,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,"Page 54, Annexure III",Cloudburst in Nankhari area of Rampur tehsil triggered localized flash runoff and house collapse.
CB_2014_KULLU_001,2014-08-14,2014,COMPLETE,Kullu,Kullu,Kullu,Lug Valley,Cloudburst,Cloudburst,HIGH,1,0,2,8,2,7,"Lug Valley link road blocked, agricultural land eroded",45.0,hpsdma_disaster_analysis_lr3_2007_2015.pdf,HP SDMA / TARU,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,"Page 58, Table 4.1",Severe cloudburst in Lug valley causing rapid debris torrent into Sarvari nullah.
CB_2016_MANDI_001,2016-08-12,2016,COMPLETE,Mandi,Mandi,Padhar,Padhar & Jogindernagar nullahs,Cloudburst,Cloudburst,HIGH,5,0,4,12,8,15,"NH-154 Mandi-Pathankot highway blocked, culverts destroyed",120.0,hpsdma_memo_monsoon_2016.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,"Page 10, Table 1: Human Loss & Damage",Torrential cloudburst in Padhar sub-division causing debris flows and residential damages.
CB_2016_KULLU_001,2016-07-03,2016,COMPLETE,Kullu,Kullu,Banjar,Hamni Village (Tirthan Valley),Cloudburst,Cloudburst,HIGH,8,0,3,20,6,12,"Trout Fish Farm Hamni completely destroyed, footbridges swept away",230.0,hpsdma_memo_monsoon_2016.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,"Page 12, Section 10: Fisheries & Agriculture Losses",Intense cloudburst over Tirthan catchment destroying state trout hatchery and inundating Hamni village.
CB_2016_SHIMLA_001,2016-08-12,2016,COMPLETE,Shimla,Shimla,Sunni,Sunni & Rampur periphery,Cloudburst,Cloudburst,HIGH,9,5,6,15,11,24,"Sutlej riverside road severed, PWD rural link bridges damaged",360.0,hpsdma_memo_monsoon_2016.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,"Page 10, Table 1 & Page 12",Cloudburst triggered multiple mudslides across Sunni and Rampur sub-divisions.
CB_2017_MANDI_001,2017-08-12,2017,COMPLETE,Mandi,Mandi,Padhar,Kotrupi (NH-154),Cloudburst,Cloudburst and Catastrophic Debris Avalanche,HIGH,48,0,5,30,12,18,"NH-154 Mandi-Pathankot highway buried under 50m mud, 2 HRTC buses buried",1500.0,hpsdma_memo_monsoon_2017.pdf,HP SDMA / GSI,https://hpsdma.hp.gov.in/WriteReadData/LINKS/5a99ba541-0548-4774-a08a-dc47f1f50aa6.pdf,"Page 1, Incident Overview",Late night cloudburst over Kotrupi ridge triggering massive debris avalanche engulfing highway and passenger buses.
CB_2018_KULLU_001,2018-09-23,2018,COMPLETE,Kullu,Kullu,Manali,Palchan and Solang Valley,Cloudburst and snow/rain deluge,Cloudburst,HIGH,3,0,2,14,5,9,"Manali-Leh highway cutoff, Beas river burst banks sweeping Volvo bus stand",450.0,hpsdma_memo_monsoon_2018.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/c237c1ce-1102-4dce-853a-3472e83bed19.pdf,"Page 15, Special Assessment",Unprecedented late September cloudburst and snowmelt surge sweeping Manali town periphery.
CB_2019_SHIMLA_001,2019-08-18,2019,COMPLETE,Shimla,Shimla,Rohru,Tikker and Chirgaon,Cloudburst,Cloudburst,HIGH,4,2,5,18,8,14,Rural water pipelines and footbridges severed,320.0,hpsdma_memo_monsoon_2019.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/0f5c2230-7150-4899-b290-df40ea8287e8.pdf,"Page 22, Table 2.8",Localized cloudburst in Tikker-Rohru apple belt washing away farm link roads and settlements.
CB_2020_KULLU_001,2020-08-10,2020,COMPLETE,Kullu,Kullu,Anni,Pani Nullah,Cloudburst,Cloudburst,HIGH,2,0,1,6,2,4,"Anni-Aut road blocked, culvert damaged",85.0,hpsdma_memo_monsoon_2020.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3372,Table 1.4,Sudden cloudburst in Pani nullah washing debris onto link roads.
CB_2021_KANGRA_001,2021-07-12,2021,COMPLETE,Kangra,Kangra,Dharamshala,Bhagsunag and Boh Village,Cloudburst,Cloudburst and Flash Flood,HIGH,10,1,8,22,15,25,"Dharamshala-Kangra road blocked, parking lot swept into Bhagsunag nullah",850.0,hpsdma_memo_monsoon_2021.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,"Page 18, Special Note on Shahpur/Boh Disaster",Severe cloudburst triggering catastrophic mudflow in Boh village and urban torrent in Bhagsunag.
