canonical_event_id,source_record_id,source_organization,document_title,source_url,source_file,page_table_location,source_verbatim_classification,fatalities_reported,damage_reported
CANON_20110811_SHI_RAM,CB_2011_SHIMLA_001,HP SDMA / TARU,hpsdma_disaster_analysis_lr3_2007_2015.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,hpsdma_disaster_analysis_lr3_2007_2015.pdf,"Page 54, Annexure III",Cloudburst,1,"Local link road blocked, pedestrian pathway eroded"
CANON_20140814_KUL_KUL,CB_2014_KULLU_001,HP SDMA / TARU,hpsdma_disaster_analysis_lr3_2007_2015.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,hpsdma_disaster_analysis_lr3_2007_2015.pdf,"Page 58, Table 4.1",Cloudburst,1,"Lug Valley link road blocked, agricultural land eroded"
CANON_20160812_MAN_PAD,CB_2016_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2016.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,hpsdma_memo_monsoon_2016.pdf,"Page 10, Table 1: Human Loss & Damage",Cloudburst,5,"NH-154 Mandi-Pathankot highway blocked, culverts destroyed"
CANON_20160703_KUL_BAN,CB_2016_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2016.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,hpsdma_memo_monsoon_2016.pdf,"Page 12, Section 10: Fisheries & Agriculture Losses",Cloudburst,8,"Trout Fish Farm Hamni completely destroyed, footbridges swept away"
CANON_20160812_SHI_SUN,CB_2016_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2016.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,hpsdma_memo_monsoon_2016.pdf,"Page 10, Table 1 & Page 12",Cloudburst,9,"Sutlej riverside road severed, PWD rural link bridges damaged"
CANON_20170812_MAN_PAD,CB_2017_MANDI_001,HP SDMA / GSI,hpsdma_memo_monsoon_2017.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/5a99ba541-0548-4774-a08a-dc47f1f50aa6.pdf,hpsdma_memo_monsoon_2017.pdf,"Page 1, Incident Overview",Cloudburst,48,"NH-154 Mandi-Pathankot highway buried under 50m mud, 2 HRTC buses buried"
CANON_20180923_KUL_MAN,CB_2018_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2018.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/c237c1ce-1102-4dce-853a-3472e83bed19.pdf,hpsdma_memo_monsoon_2018.pdf,"Page 15, Special Assessment",Cloudburst and snow/rain deluge,3,"Manali-Leh highway cutoff, Beas river burst banks sweeping Volvo bus stand"
CANON_20190818_SHI_ROH,CB_2019_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2019.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/0f5c2230-7150-4899-b290-df40ea8287e8.pdf,hpsdma_memo_monsoon_2019.pdf,"Page 22, Table 2.8",Cloudburst,4,Rural water pipelines and footbridges severed
CANON_20200810_KUL_ANN,CB_2020_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2020.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3372,hpsdma_memo_monsoon_2020.pdf,Table 1.4,Cloudburst,2,"Anni-Aut road blocked, culvert damaged"
CANON_20210712_KAN_DHA,CB_2021_KANGRA_001,HP SDMA,hpsdma_memo_monsoon_2021.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,hpsdma_memo_monsoon_2021.pdf,"Page 18, Special Note on Shahpur/Boh Disaster",Cloudburst,10,"Dharamshala-Kangra road blocked, parking lot swept into Bhagsunag nullah"
CANON_20210728_SHI_RAM,CB_2021_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2021.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,hpsdma_memo_monsoon_2021.pdf,"Page 21, Incident List",Cloudburst,1,Local irrigation channels eroded
CANON_20220706_KUL_MAN,CB_2022_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2022.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,hpsdma_memo_monsoon_2022.pdf,"Annexure II, Event 3",Cloudburst,4,"Chojh footbridge washed away, camping sites inundated"
CANON_20220819_MAN_GOH,CB_2022_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2022.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,hpsdma_memo_monsoon_2022.pdf,"Annexure II, Event 9",Cloudburst and debris avalanche,8,"Panchayat building damaged, internal link road buried under debris"
CANON_20230709_KUL_BHU,CB_2023_KULLU_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 18, Table 1.2",Cloudburst,4,"Bhuntar-Gadsa bridge approaches washed away, power lines down"
CANON_20230709_MAN_THU,CB_2023_MANDI_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 19, Table 1.3",Cloudburst,2,"Thunag main market engulfed in 5ft silt and logs, vehicles dragged"
CANON_20230814_SHI_SHI,CB_2023_SHIMLA_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 22, Section 1.3",Cloudburst / Extreme Rainfall Triggered Landslide,20,"Shiv Bawadi temple collapsed, Kalka-Shimla heritage railway line hung in mid-air"
CANON_20230814_KAN_JAW,CB_2023_KANGRA_001,HP SDMA,hpsdma_pdna_monsoon_2023.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,hpsdma_pdna_monsoon_2023.pdf,"Page 25, Table 1.7",Cloudburst,3,"Dehar khad bridges strained, rural roads cut off"
CANON_20240731_SHI_RAM,CB_2024_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2024.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,hpsdma_memo_monsoon_2024.pdf,"Annexure IV, Incident 12",Cloudburst,33,"Entire Samej village flattened, 2 hydro electric projects heavily damaged, primary school erased"
CANON_20240731_KUL_NIR,CB_2024_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2024.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,hpsdma_memo_monsoon_2024.pdf,"Annexure IV, Incident 13",Cloudburst,9,"Kurpan khad bridge collapsed, market buildings washed away"
CANON_20240731_MAN_PAD,CB_2024_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2024.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3664,hpsdma_memo_monsoon_2024.pdf,"Annexure IV, Incident 14",Cloudburst and debris flow,10,"Rajban road cutoff, electrical transformers washed away, JSV schemes choked"
CANON_20250801_MAN_GOH,CB_2025_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2025.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,hpsdma_memo_monsoon_2025.pdf,"Page 41, Section 2.8: Cloudburst Incidents",Cloudburst,6,"Link roads blocked, irrigation channels breached"
CANON_20250801_KUL_SAI,CB_2025_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2025.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,hpsdma_memo_monsoon_2025.pdf,"Page 41, Section 2.8: Cloudburst Incidents",Cloudburst,4,Sainj hydro project access bridge damaged
CANON_20250815_SHI_RAM,CB_2025_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2025.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,hpsdma_memo_monsoon_2025.pdf,"Page 41, Section 2.8: Cloudburst Incidents",Cloudburst,2,Pabbar catchment link roads washed out
CANON_20130616_KUL_KUL,FF_2013_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2013_2015.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,hpsdma_memo_monsoon_2013_2015.pdf,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash Flood,10,"NH-21 Beas bridge approaches eroded, apple orchards submerged"
CANON_20130616_SHI_RAM,FF_2013_SHIMLA_001,HP SDMA,hpsdma_memo_monsoon_2013_2015.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,hpsdma_memo_monsoon_2013_2015.pdf,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash Flood,12,"Hindustan-Tibet Road (NH-5) washed away in several stretches, Nathpa Jhakri HEP shut down due to silt"
CANON_20130616_MAN_SAD,FF_2013_MANDI_001,HP SDMA,hpsdma_memo_monsoon_2013_2015.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,hpsdma_memo_monsoon_2013_2015.pdf,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash Flood,5,"Pandoh Dam spillway gates opened at maximum capacity, NH-21 submerged"
CANON_20130616_KAN_PAL,FF_2013_KANGRA_001,HP SDMA,hpsdma_memo_monsoon_2013_2015.pdf,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,hpsdma_memo_monsoon_2013_2015.pdf,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash Flood,3,"Road links severed, irrigation kuhl networks damaged"
CANON_20140608_MAN_THA,FF_2014_MANDI_001,HP SDMA / TARU,hpsdma_disaster_analysis_lr3_2007_2015.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,hpsdma_disaster_analysis_lr3_2007_2015.pdf,"Page 62, Major Incidents",Sudden River Surge / Flash Flood,25,Hydro project warning system failure
CANON_20160812_KAN_DHA,FF_2016_KANGRA_001,HP SDMA,hpsdma_memo_monsoon_2016.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,hpsdma_memo_monsoon_2016.pdf,"Page 10, Table 1",Flash Flood,2,Culverts and protection bunds breached along khads
CANON_20180924_KUL_KUL,FF_2018_KULLU_001,HP SDMA,hpsdma_memo_monsoon_2018.pdf,https://hpsdma.hp.gov.in/WriteReadData/LINKS/c237c1ce-1102-4dce-853a-3472e83bed19.pdf,hpsdma_memo_monsoon_2018.pdf,"Page 18, Table 2.2",Flash Flood,7,"Bhimakali temple market inundated, NH-21 damaged in multiple stretches"
