event_id,date,year,year_status,district,district_original,river_basin_khad,tehsil,panchayat_village,source_classification,derived_classification,classification_confidence,fatalities,missing_persons,injured_persons,livestock_lost,houses_damaged_fully,houses_damaged_partially,infrastructure_damage,financial_loss_inr_lakh,source_file,source_organization,source_url,page_table_location,event_narrative
FF_2013_KULLU_001,2013-06-16,2013,COMPLETE,Kullu,Kullu,Beas River & Parbati River,Kullu / Manali,"Manali, Akhara Bazaar, Bhuntar",Flash Flood,Flash Flood,HIGH,10,4,15,45,35,85,"NH-21 Beas bridge approaches eroded, apple orchards submerged",2180.0,hpsdma_memo_monsoon_2013_2015.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Massive flash floods across Beas River basin triggered by early monsoon deluge coinciding with Uttarakhand disaster.
FF_2013_SHIMLA_001,2013-06-16,2013,COMPLETE,Shimla,Shimla,Sutlej River & Pabbar River,Rampur / Chirgaon,"Rampur, Jhakri, Chirgaon",Flash Flood,Flash Flood,HIGH,12,6,10,30,28,60,"Hindustan-Tibet Road (NH-5) washed away in several stretches, Nathpa Jhakri HEP shut down due to silt",3810.0,hpsdma_memo_monsoon_2013_2015.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash flooding in Sutlej and Pabbar rivers causing widespread damage to infrastructure and hydro plants.
FF_2013_MANDI_001,2013-06-16,2013,COMPLETE,Mandi,Mandi,Beas River & Suketi Khad,Sadar Mandi,"Pandoh, Mandi town, Aut",Flash Flood,Flash Flood,HIGH,5,2,8,20,18,45,"Pandoh Dam spillway gates opened at maximum capacity, NH-21 submerged",1680.0,hpsdma_memo_monsoon_2013_2015.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Severe river surge along Beas inundating lower reaches of Mandi district.
FF_2013_KANGRA_001,2013-06-16,2013,COMPLETE,Kangra,Kangra,Chakki River & Neugal Khad,Palampur / Nurpur,"Palampur, Nurpur, Dehra",Flash Flood,Flash Flood,HIGH,3,1,4,15,12,35,"Road links severed, irrigation kuhl networks damaged",1200.0,hpsdma_memo_monsoon_2013_2015.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3633,"Page 19-25, Appendix-II: June 15-17 Excessive Rain Calamity",Flash runoff in Kangra foothills during state-wide June 2013 calamity.
FF_2014_MANDI_001,2014-06-08,2014,COMPLETE,Mandi,Mandi,Beas River (Larji Dam reach),Thalout,Larji Hydro Reservoir Downstream,Sudden River Surge / Flash Flood,Flash Flood,HIGH,25,0,0,0,0,0,Hydro project warning system failure,50.0,hpsdma_disaster_analysis_lr3_2007_2015.pdf,HP SDMA / TARU,https://hpsdma.hp.gov.in/WriteReadData/LINKS/250a3928a-f478-4f12-ada3-1fc6983f0626.pdf,"Page 62, Major Incidents",Sudden unannounced surge of water from Larji Dam drowning 24 engineering students on the riverbank.
FF_2016_KANGRA_001,2016-08-12,2016,COMPLETE,Kangra,Kangra,Manjhi Khad & Chakki Khad,Dharamshala / Nurpur,Dharamshala periphery & Nurpur,Flash Flood,Flash Flood,HIGH,2,2,3,10,4,12,Culverts and protection bunds breached along khads,80.0,hpsdma_memo_monsoon_2016.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/a4f792cb-73a9-440a-a1ad-f4669dd497eb.pdf,"Page 10, Table 1",Flash flood down Manjhi Khad causing casualties and erosion in Kangra district.
FF_2018_KULLU_001,2018-09-24,2018,COMPLETE,Kullu,Kullu,Beas River,Kullu and Manali,"Aut, Pandoh, and Akhara Bazaar",Flash Flood,Flash Flood,HIGH,7,2,8,18,12,25,"Bhimakali temple market inundated, NH-21 damaged in multiple stretches",780.0,hpsdma_memo_monsoon_2018.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/c237c1ce-1102-4dce-853a-3472e83bed19.pdf,"Page 18, Table 2.2",Raging waters of Beas River inundated lower Akhara Bazaar and residential clusters.
FF_2019_SHIMLA_001,2019-08-18,2019,COMPLETE,Shimla,Shimla,Pabbar River and Andhra Khad,Chirgaon,Muran and Sandasu,Flash Flood,Flash Flood,HIGH,12,4,9,35,18,22,"Andhra hydro project intake damaged, Rohru-Chirgaon highway severed",1200.0,hpsdma_memo_monsoon_2019.pdf,HP SDMA,https://hpsdma.hp.gov.in/WriteReadData/LINKS/0f5c2230-7150-4899-b290-df40ea8287e8.pdf,"Page 24, Table 3.1",Enormous flood discharge in Andhra khad wiping out Muran and Sandasu riverside settlements.
FF_2021_KANGRA_001,2021-07-12,2021,COMPLETE,Kangra,Kangra,Manjhi Khad and Gaj Khad,Dharamshala and Shahpur,"Boh, Rulehr, and Bhagsu Nullah",Flash Flood,Cloudburst and Flash Flood,HIGH,10,1,8,22,15,25,"Manjhi Khad bridge severely damaged, NH-154 culverts swept",850.0,hpsdma_memo_monsoon_2021.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,Incident Report Page 18,Flash flooding in Manjhi Khad washing away commercial vehicles in Bhagsunag and devastating Boh hamlet.
FF_2021_KULLU_001,2021-07-28,2021,COMPLETE,Kullu,Kullu,Brahma Ganga nullah (Parbati basin),Manikaran,Manikaran Sahib and Tosh,Flash Flood,Flash Flood,HIGH,5,2,4,8,4,6,"Campsites washed away, bridge connecting Manikaran and Tosh damaged",240.0,hpsdma_memo_monsoon_2021.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3487,Incident Report Page 11,Brahma Ganga nullah flash flood washing away wooden footbridges and camps.
FF_2022_MANDI_001,2022-08-20,2022,COMPLETE,Mandi,Mandi,Suketi Khad and Baggi canal,Balh,Nerchowk and Nagchala,Flash Flood and Inundation,Flash Flood,HIGH,6,1,5,20,12,30,"Balh valley fields and commercial complexes flooded, NH-21 blocked",650.0,hpsdma_memo_monsoon_2022.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,"Annexure II, Event 11",Severe overflow of Suketi Khad inundating Nerchowk town and commercial zones.
FF_2022_KANGRA_001,2022-08-20,2022,COMPLETE,Kangra,Kangra,Chakki River,Nurpur,Kandwal and Chakki railway crossing,Flash Flood,Flash Flood,HIGH,2,0,2,4,2,8,Railway bridge on Chakki river collapsed due to pier scouring,1800.0,hpsdma_memo_monsoon_2022.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3520,"Annexure II, Event 12",Flash flood discharge in Chakki River scouring foundations leading to complete collapse of British-era railway bridge.
FF_2023_KULLU_001,2023-07-09,2023,COMPLETE,Kullu,Kullu,Beas River and tributaries,Manali and Kullu,"Old Manali, Bahang, Aloo Ground, and Green Tax Barrier",Flash Flood / River Deluge,Flash Flood,HIGH,14,8,25,50,45,120,"NH-3 Chandigarh-Manali completely washed into river, 40 shops erased, bus stand submerged",8500.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 19-20, Section 1.1.6",Catastrophic flooding of the Beas River reshaping riverbed and wiping out key tourism infrastructure across Manali.
FF_2023_MANDI_001,2023-07-09,2023,COMPLETE,Mandi,Mandi,Beas River and Suketi Khad,Sadar Mandi,Panchvaktra Temple complex and Purani Mandi,Flash Flood,Flash Flood,HIGH,9,4,18,35,28,90,"Victoria bridge approach road submerged, Pandoh market flooded, JSV intake pump houses inundated",4200.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 42, Section 3.8",Beas River reached historic record flood levels engulfing ancient Panchvaktra Temple and submerging Purani Mandi.
FF_2023_SHIMLA_001,2023-07-10,2023,COMPLETE,Shimla,Shimla,Ashwani Khad and Giri River,Shimla Rural,Guma and Ashwani Khad pumping stations,Flash Flood,Flash Flood,HIGH,3,1,4,12,6,14,Major water supply pumping stations for Shimla city heavily silted and submerged,1800.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 35, Section 2.4",Flash flood silting and destroying electrical equipment of Shimla water pumping facilities leading to city-wide crisis.
FF_2023_KANGRA_001,2023-08-14,2023,COMPLETE,Kangra,Kangra,Chakki Khad and Pong Reservoir basin,Nurpur and Indora,Mand areas of Indora and Fatehpur,Flash Flood and Dam Spillway Inundation,Flash Flood,HIGH,8,2,12,40,32,65,"Railway bridge pillar on Chakki washed away, hundreds marooned rescued by IAF helicopters",2900.0,hpsdma_pdna_monsoon_2023.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3788,"Page 20, Section 1.1.6",Surge of water downstream of Pong Dam and flash torrent down Chakki khad marooning dozens of villages.
FF_2025_MANDI_001,2025-08-02,2025,COMPLETE,Mandi,Mandi,Suketi Khad & Beas River tributaries,Balh & Sadar Mandi,Nerchowk & Pandoh reach,Flash Flood,Flash Flood,HIGH,4,1,4,15,8,22,"Protection walls breached, agricultural fields inundated",380.0,hpsdma_memo_monsoon_2025.pdf,HP SDMA,https://hpsdma.hp.gov.in/admnis/admin/showimg.aspx?ID=3806,"Page 57-65, Section 3.2: Flash Flood Damages",Flash flooding along Suketi Khad and Beas tributaries inundating low-lying residential sectors.
