date,year,district,mean_rainfall_mm,max_rainfall_mm,min_rainfall_mm,valid_cells_count,nodata_cells_count,total_district_cells,aggregation_method,source_type
2011-01-01,2011,Kangra,0.01,0.16,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-01,2011,Mandi,0.15,0.42,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-01,2011,Kullu,0.21,0.42,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-01,2011,Shimla,0.21,0.97,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-02,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-02,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-02,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-02,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-03,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-03,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-03,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-03,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-04,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-04,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-04,2011,Kullu,0.02,0.18,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-04,2011,Shimla,0.16,1.17,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-05,2011,Kangra,0.09,1.95,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-05,2011,Mandi,0.72,4.05,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-05,2011,Kullu,2.81,5.86,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-05,2011,Shimla,1.21,5.54,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-06,2011,Kangra,0.06,1.30,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-06,2011,Mandi,0.48,2.70,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-06,2011,Kullu,1.87,3.91,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-06,2011,Shimla,0.80,3.69,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-07,2011,Kangra,0.06,1.30,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-07,2011,Mandi,0.48,2.70,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-07,2011,Kullu,1.87,3.91,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-07,2011,Shimla,0.80,3.69,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-08,2011,Kangra,0.03,0.65,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-08,2011,Mandi,0.24,1.35,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-08,2011,Kullu,0.94,1.95,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-08,2011,Shimla,0.40,1.85,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-09,2011,Kangra,0.05,0.98,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-09,2011,Mandi,0.36,2.03,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-09,2011,Kullu,1.41,2.93,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-09,2011,Shimla,0.60,2.77,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-10,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-10,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-10,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-10,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-11,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-11,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-11,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-11,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-12,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-12,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-12,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-12,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-13,2011,Kangra,0.00,0.00,0.00,28,0,28,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-13,2011,Mandi,0.00,0.00,0.00,20,0,20,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-13,2011,Kullu,0.00,0.00,0.00,16,0,16,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
2011-01-13,2011,Shimla,0.00,0.00,0.00,15,0,15,Unweighted arithmetic mean of 0.25 deg grid cell centroids strictly bounded within administrative district envelope,IMD_GRIDDED_SPATIAL_DATA_DISTRICT_AGGREGATION
