station_name,district,date,year,rainfall_mm,source_document,page_table_location,source_url,source_organization,quality_flag,source_type
Dharamshala,Kangra,2011-08-11,2011,178.4,imd_climatology_kangra.pdf,Table 2: Historical Significant Daily Rainfall,https://mausam.imd.gov.in/shimla/mcdata/cli_kangra.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Kangra Aero,Kangra,2014-08-14,2014,142.2,imd_climatology_kangra.pdf,Table 2: Significant Daily Rainfall Records,https://mausam.imd.gov.in/shimla/mcdata/cli_kangra.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Sundernagar,Mandi,2017-08-12,2017,164.0,imd_climatology_mandi.pdf,Table 2: Extreme Precipitation Events,https://mausam.imd.gov.in/shimla/mcdata/cli_mandi.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Mandi Urban,Mandi,2017-08-12,2017,151.0,imd_climatology_mandi.pdf,Table 2: Extreme Precipitation Events,https://mausam.imd.gov.in/shimla/mcdata/cli_mandi.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Dharamshala,Kangra,2018-09-23,2018,136.0,imd_climatology_kangra.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_kangra.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Bhuntar Aero,Kullu,2018-09-23,2018,92.0,imd_climatology_kullu.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_kullu.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Manali,Kullu,2018-09-24,2018,127.4,imd_climatology_kullu.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_kullu.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Shimla City,Shimla,2018-09-24,2018,84.6,imd_climatology_shimla.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_shimla2.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Dharamshala,Kangra,2021-07-12,2021,226.0,imd_climatology_kangra.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_kangra.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Palampur,Kangra,2021-07-12,2021,162.0,imd_climatology_kangra.pdf,Table 2: Significant Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_kangra.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Shimla City,Shimla,2021-07-28,2021,78.2,imd_climatology_shimla.pdf,Table 2: Extreme Rainfall Events,https://mausam.imd.gov.in/shimla/mcdata/cli_shimla2.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Manali,Kullu,2023-07-09,2023,131.0,imd_shimla_monsoon_report_2023.pdf,"Page 14, Table 3.2",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Kullu (Bhuntar),Kullu,2023-07-09,2023,120.0,imd_shimla_monsoon_report_2023.pdf,"Page 14, Table 3.2",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Mandi (Sundernagar),Mandi,2023-07-09,2023,112.0,imd_shimla_monsoon_report_2023.pdf,"Page 14, Table 3.2",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Shimla City,Shimla,2023-07-10,2023,146.0,imd_shimla_monsoon_report_2023.pdf,"Page 15, Table 3.3",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Kufri,Shimla,2023-07-10,2023,118.0,imd_shimla_monsoon_report_2023.pdf,"Page 15, Table 3.3",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Dharamshala,Kangra,2023-08-14,2023,273.0,imd_shimla_monsoon_report_2023.pdf,"Page 16, Table 3.4",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Kangra Aero,Kangra,2023-08-14,2023,175.0,imd_shimla_monsoon_report_2023.pdf,"Page 16, Table 3.4",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Mandi Urban,Mandi,2023-08-14,2023,138.0,imd_shimla_monsoon_report_2023.pdf,"Page 16, Table 3.4",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Shimla (Summer Hill),Shimla,2023-08-14,2023,168.0,imd_shimla_monsoon_report_2023.pdf,"Page 16, Table 3.4",https://mausam.imd.gov.in/shimla/mcdata/monsoon2023.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Dharamshala,Kangra,2026-08-01,2026,84.0,imd_shimla_daily_bulletin_2026.pdf,Table 1: Daily Precipitation,https://mausam.imd.gov.in/shimla/mcdata/daily.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Mandi Urban,Mandi,2026-08-01,2026,62.0,imd_shimla_daily_bulletin_2026.pdf,Table 1: Daily Precipitation,https://mausam.imd.gov.in/shimla/mcdata/daily.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Shimla City,Shimla,2026-08-01,2026,45.0,imd_shimla_daily_bulletin_2026.pdf,Table 1: Daily Precipitation,https://mausam.imd.gov.in/shimla/mcdata/daily.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Kullu (Bhuntar),Kullu,2026-08-01,2026,38.0,imd_shimla_daily_bulletin_2026.pdf,Table 1: Daily Precipitation,https://mausam.imd.gov.in/shimla/mcdata/daily.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
Dharamshala,Kangra,2026-09-07,2026,52.0,imd_shimla_chief_rainfall_2026.pdf,Table 1: Chief Rainfall Amounts,https://mausam.imd.gov.in/shimla/mcdata/chief.pdf,IMD MC Shimla,VALID,IMD_STATION_OR_DISTRICT_OBSERVATION
