category,directory,filename,size_bytes,size_mb
RAW,data\raw\disaster_reports,hpsdma_10year_losses_2016_2025.pdf,195371,0.19
RAW,data\raw\disaster_reports,hpsdma_disaster_analysis_lr3_2007_2015.pdf,2127166,2.03
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2013_2015.pdf,37843733,36.09
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2016.pdf,5435748,5.18
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2017.pdf,3689943,3.52
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2018.pdf,16609222,15.84
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2019.pdf,24951126,23.80
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2020.pdf,20512186,19.56
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2021.pdf,171690123,163.74
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2022.pdf,7458322,7.11
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2023.pdf,11955136,11.40
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2024.pdf,13333637,12.72
RAW,data\raw\disaster_reports,hpsdma_memo_monsoon_2025.pdf,39737078,37.90
RAW,data\raw\disaster_reports,hpsdma_pdna_monsoon_2023.pdf,21822672,20.81
RAW,data\raw\flash_flood,gsi_boh_kangra_investigation.pdf,1572340,1.50
RAW,data\raw\flash_flood,gsi_kotrupi_mandi_investigation.pdf,1427833,1.36
RAW,data\raw\rainfall,imd_climatology_kangra.pdf,1159528,1.11
RAW,data\raw\rainfall,imd_climatology_kullu.pdf,1158785,1.11
RAW,data\raw\rainfall,imd_climatology_mandi.pdf,1271301,1.21
RAW,data\raw\rainfall,imd_climatology_shimla.pdf,1354127,1.29
RAW,data\raw\rainfall,imd_gridded_rain_2011.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2012.grd,25495560,24.31
RAW,data\raw\rainfall,imd_gridded_rain_2013.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2014.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2015.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2016.grd,25495560,24.31
RAW,data\raw\rainfall,imd_gridded_rain_2017.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2018.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2019.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2020.grd,25495560,24.31
RAW,data\raw\rainfall,imd_gridded_rain_2021.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2022.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2023.grd,25425900,24.25
RAW,data\raw\rainfall,imd_gridded_rain_2024.grd,25495560,24.31
RAW,data\raw\rainfall,imd_gridded_rain_2025.grd,25425900,24.25
RAW,data\raw\rainfall,imd_shimla_chief_rainfall_2026.pdf,68311,0.07
RAW,data\raw\rainfall,imd_shimla_daily_bulletin_2026.pdf,187524,0.18
RAW,data\raw\rainfall,imd_shimla_monsoon_report_2023.pdf,1715142,1.64
RAW,data\raw\rainfall,imd_shimla_rainfallmonthly_2023.pdf,530253,0.51
RAW,data\raw\rainfall,imd_shimla_three_hourly_telemetry_2026.pdf,202990,0.19
RAW,data\raw\rainfall,imd_shimla_yearlymonsoon_2004_2025.pdf,217253,0.21
PROCESSED,data\processed\cloudburst,cloudburst_events.csv,10382,0.01
PROCESSED,data\processed\combined,event_rainfall_context.csv,4160,0.00
PROCESSED,data\processed\combined,event_source_mapping.csv,11962,0.01
PROCESSED,data\processed\combined,extreme_weather_events.csv,12911,0.01
PROCESSED,data\processed\flash_flood,flash_flood_events.csv,8792,0.01
PROCESSED,data\processed\rainfall,daily_rainfall.csv,32100897,30.61
PROCESSED,data\processed\rainfall,district_daily_rainfall.csv,4578721,4.37
PROCESSED,data\processed\rainfall,imd_gridded_daily_rainfall.csv,35210503,33.58
PROCESSED,data\processed\rainfall,station_district_rainfall.csv,5455,0.01
PROCESSED,data\processed\rainfall,telemetry_rainfall.csv,1036,0.00
