year,kangra_events,mandi_events,shimla_events,kullu_events,cloudburst_events,flash_flood_events,coverage_status
2011,0,0,1,0,1,0,DOCUMENTED_EVENTS
2012,0,0,0,0,0,0,ZERO_DOCUMENTED_EVENTS (Confirmed via HPSDMA disaster reports)
2013,1,1,1,1,0,4,DOCUMENTED_EVENTS
2014,0,1,0,1,1,1,DOCUMENTED_EVENTS
2015,0,0,0,0,0,0,ZERO_DOCUMENTED_EVENTS (Confirmed via HPSDMA disaster reports)
2016,1,1,1,1,3,1,DOCUMENTED_EVENTS
2017,0,1,0,0,1,0,DOCUMENTED_EVENTS
2018,0,0,0,2,1,1,DOCUMENTED_EVENTS
2019,0,0,2,0,1,1,DOCUMENTED_EVENTS
2020,0,0,0,1,1,0,DOCUMENTED_EVENTS
2021,1,0,1,1,2,2,DOCUMENTED_EVENTS
2022,1,2,0,1,2,2,DOCUMENTED_EVENTS
2023,2,2,2,2,4,4,DOCUMENTED_EVENTS
2024,0,1,1,1,3,0,DOCUMENTED_EVENTS
2025,0,2,1,1,3,1,DOCUMENTED_EVENTS
2026,0,0,0,0,0,0,PARTIAL (Current in-progress season; 0 major events recorded through Sep 2026)
