latitude,longitude,cell_id,assigned_districts,grid_spacing_lat,grid_spacing_lon
30.75,77.0,GRID_30.75N_77.00E,Shimla,0.25,0.25
30.75,77.25,GRID_30.75N_77.25E,Shimla,0.25,0.25
30.75,77.5,GRID_30.75N_77.50E,Shimla,0.25,0.25
30.75,77.75,GRID_30.75N_77.75E,Shimla,0.25,0.25
30.75,78.0,GRID_30.75N_78.00E,Shimla,0.25,0.25
31.0,77.0,GRID_31.00N_77.00E,Shimla,0.25,0.25
31.0,77.25,GRID_31.00N_77.25E,Shimla,0.25,0.25
31.0,77.5,GRID_31.00N_77.50E,Shimla,0.25,0.25
31.0,77.75,GRID_31.00N_77.75E,Shimla,0.25,0.25
31.0,78.0,GRID_31.00N_78.00E,Shimla,0.25,0.25
31.25,76.5,GRID_31.25N_76.50E,Mandi,0.25,0.25
31.25,76.75,GRID_31.25N_76.75E,Mandi,0.25,0.25
31.25,77.0,GRID_31.25N_77.00E,Mandi; Shimla,0.25,0.25
31.25,77.25,GRID_31.25N_77.25E,Mandi; Shimla,0.25,0.25
31.25,77.5,GRID_31.25N_77.50E,Mandi; Shimla,0.25,0.25
31.25,77.75,GRID_31.25N_77.75E,Shimla,0.25,0.25
31.25,78.0,GRID_31.25N_78.00E,Shimla,0.25,0.25
31.5,76.5,GRID_31.50N_76.50E,Mandi,0.25,0.25
31.5,76.75,GRID_31.50N_76.75E,Mandi,0.25,0.25
31.5,77.0,GRID_31.50N_77.00E,Mandi; Kullu,0.25,0.25
31.5,77.25,GRID_31.50N_77.25E,Mandi; Kullu,0.25,0.25
31.5,77.5,GRID_31.50N_77.50E,Mandi; Kullu,0.25,0.25
31.5,77.75,GRID_31.50N_77.75E,Kullu,0.25,0.25
31.75,75.5,GRID_31.75N_75.50E,Kangra,0.25,0.25
31.75,75.75,GRID_31.75N_75.75E,Kangra,0.25,0.25
31.75,76.0,GRID_31.75N_76.00E,Kangra,0.25,0.25
31.75,76.25,GRID_31.75N_76.25E,Kangra,0.25,0.25
31.75,76.5,GRID_31.75N_76.50E,Kangra; Mandi,0.25,0.25
31.75,76.75,GRID_31.75N_76.75E,Kangra; Mandi,0.25,0.25
31.75,77.0,GRID_31.75N_77.00E,Kangra; Mandi; Kullu,0.25,0.25
31.75,77.25,GRID_31.75N_77.25E,Mandi; Kullu,0.25,0.25
31.75,77.5,GRID_31.75N_77.50E,Mandi; Kullu,0.25,0.25
31.75,77.75,GRID_31.75N_77.75E,Kullu,0.25,0.25
32.0,75.5,GRID_32.00N_75.50E,Kangra,0.25,0.25
32.0,75.75,GRID_32.00N_75.75E,Kangra,0.25,0.25
32.0,76.0,GRID_32.00N_76.00E,Kangra,0.25,0.25
32.0,76.25,GRID_32.00N_76.25E,Kangra,0.25,0.25
32.0,76.5,GRID_32.00N_76.50E,Kangra; Mandi,0.25,0.25
32.0,76.75,GRID_32.00N_76.75E,Kangra; Mandi,0.25,0.25
32.0,77.0,GRID_32.00N_77.00E,Kangra; Mandi; Kullu,0.25,0.25
32.0,77.25,GRID_32.00N_77.25E,Mandi; Kullu,0.25,0.25
32.0,77.5,GRID_32.00N_77.50E,Mandi; Kullu,0.25,0.25
32.0,77.75,GRID_32.00N_77.75E,Kullu,0.25,0.25
32.25,75.5,GRID_32.25N_75.50E,Kangra,0.25,0.25
32.25,75.75,GRID_32.25N_75.75E,Kangra,0.25,0.25
32.25,76.0,GRID_32.25N_76.00E,Kangra,0.25,0.25
32.25,76.25,GRID_32.25N_76.25E,Kangra,0.25,0.25
32.25,76.5,GRID_32.25N_76.50E,Kangra,0.25,0.25
32.25,76.75,GRID_32.25N_76.75E,Kangra,0.25,0.25
32.25,77.0,GRID_32.25N_77.00E,Kangra; Kullu,0.25,0.25
32.25,77.25,GRID_32.25N_77.25E,Kullu,0.25,0.25
32.25,77.5,GRID_32.25N_77.50E,Kullu,0.25,0.25
32.25,77.75,GRID_32.25N_77.75E,Kullu,0.25,0.25
32.5,75.5,GRID_32.50N_75.50E,Kangra,0.25,0.25
32.5,75.75,GRID_32.50N_75.75E,Kangra,0.25,0.25
32.5,76.0,GRID_32.50N_76.00E,Kangra,0.25,0.25
32.5,76.25,GRID_32.50N_76.25E,Kangra,0.25,0.25
32.5,76.5,GRID_32.50N_76.50E,Kangra,0.25,0.25
32.5,76.75,GRID_32.50N_76.75E,Kangra,0.25,0.25
32.5,77.0,GRID_32.50N_77.00E,Kangra,0.25,0.25
