year,source,requested,downloaded,file_present,file_size,sha256,expected_structure,acquisition_status,failure_reason
2011,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,1f656dc6498b8bcb8423ed8713b4b8469c0d66771b67bd2e985a3071240ac67b,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2012,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25495560,3f007292029a212edde5ee1ee618242c8f2a64062d80e196d20f9576e8f77381,"129x135x4x366 (25,495,560 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2013,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,81bbab9f686bcd0c487e52a4fb54e4623efea198e74a742df5159a0977a8a02b,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2014,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,1e89531d9772acbdd2e83fa8bb8972ef09a52f0e4ec6adbeb408b1d98a167b22,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2015,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,72a9c97f58fb12d82d06ecdd821a9724865e48683c15a34d72f8804d244b9202,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2016,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25495560,7d47dd937eb68d3e64e77f20d40597eeebb4d5329704857f604c4c4618dbf838,"129x135x4x366 (25,495,560 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2017,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,dc9109fc3c4c2dbcf8eea97114fa53a814ce677a8e64b567389f7d3da076c23a,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2018,IMD Pune (CRS) 0.25° Gridded,YES,PREVIOUSLY_DOWNLOADED,YES,25425900,78ae74184b0ece2a9a03bb16cca6f7361abcae1e772ce3e6d685110b2af18c33,"129x135x4x365 (25,425,900 bytes)",VERIFIED_ON_DISK,NONE
2019,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,dfb714184e16624cd43af8e932e3245c0d6cf1bacd9556e2cf44d962c9733f3f,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2020,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25495560,e19532760221e68711132c98f05cc3ceb7b399e55dbe9bd35b02589bbf2e46ff,"129x135x4x366 (25,495,560 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2021,IMD Pune (CRS) 0.25° Gridded,YES,PREVIOUSLY_DOWNLOADED,YES,25425900,7f5128e82aa6d362b165898f7f5902d5edd12cb8265c71e2304f89053d5a2678,"129x135x4x365 (25,425,900 bytes)",VERIFIED_ON_DISK,NONE
2022,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,9cd1654631ed918f55fbe12e08ef7c0593019c4a3399e695f0b0398283fcbb3e,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2023,IMD Pune (CRS) 0.25° Gridded,YES,PREVIOUSLY_DOWNLOADED,YES,25425900,f308b916a4a2a57a66ce9d4987c60bb7756041434baed31f4342122dc3800ced,"129x135x4x365 (25,425,900 bytes)",VERIFIED_ON_DISK,NONE
2024,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25495560,09d3c89a084f13f3ec534170ce9d98fafc6ff8c29b87d1c83cc2fcd82b495601,"129x135x4x366 (25,495,560 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2025,IMD Pune (CRS) 0.25° Gridded,YES,YES,YES,25425900,b4fa5ffb389496c0fa7d5a468d1cb47e4db0bcabcd11be4f273c0e6cfa7d611d,"129x135x4x365 (25,425,900 bytes)",DOWNLOADED_AND_VERIFIED,NONE
2026,IMD Pune (CRS) 0.25° Gridded,NO,NO,NO,0,N/A,N/A,PARTIAL_YEAR_NOT_RELEASED_IN_ANNUAL_GRID,Annual gridded binary matrix released by IMD Pune only post-calendar year completion. 2026 tracked via IMD MC Shimla live telemetry bulletins.
