year,total_records,valid_records,missing_records,valid_percentage,missing_percentage,status
2011,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2012,21960,21960,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2013,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2014,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2015,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2016,21960,21960,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2017,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2018,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2019,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2020,21960,21960,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2021,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2022,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2023,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2024,21960,21960,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2025,21900,21900,0,100.00%,0.00%,COMPLETE (IMD Gridded Matrix)
2026,9,9,0,100.00%,0.00%,PARTIAL (Station Bulletins & Telemetry)
